mood,sleep,food,stress,sessionID,userID,real_stress,user_sessionID
0.41,0.58,0.65,0.41,13,3075,0.5900000000000001,3075_13
1.0,0.96,0.99,0.99,13,3076,0.010000000000000009,3076_13
0.38,0.4,0.15,0.04,13,3077,0.96,3077_13
0.64,0.55,0.55,0.13,13,3078,0.87,3078_13
0.91,,0.96,0.96,14,3051,0.040000000000000036,3051_14
0.53,,0.59,0.03,14,3053,0.97,3053_14
0.78,,0.35,0.42,14,3054,0.5800000000000001,3054_14
0.16,,0.71,0.02,14,3055,0.98,3055_14
0.3,,0.67,0.07,14,3056,0.9299999999999999,3056_14
0.62,,0.62,0.49,14,3057,0.51,3057_14
0.46,,0.61,0.45,14,3058,0.55,3058_14
0.9,,0.96,0.12,14,3059,0.88,3059_14
0.53,,0.31,0.31,14,3060,0.69,3060_14
0.67,,0.74,0.66,14,3061,0.33999999999999997,3061_14
0.85,,0.94,0.83,14,3062,0.17000000000000004,3062_14
0.62,,0.71,0.55,14,3063,0.44999999999999996,3063_14
0.6,,0.69,0.64,14,3064,0.36,3064_14
0.16,,0.69,0.15,14,3065,0.85,3065_14
0.91,,1.0,0.43,14,3066,0.5700000000000001,3066_14
0.42,,0.41,0.38,14,3067,0.62,3067_14
0.39,,0.83,0.51,14,3068,0.49,3068_14
0.63,,0.72,0.6,14,3069,0.4,3069_14
0.56,,0.64,0.4,14,3070,0.6,3070_14
0.91,,1.0,0.92,14,3071,0.07999999999999996,3071_14
0.8,,0.78,0.49,14,3072,0.51,3072_14
0.65,,0.48,0.55,14,3073,0.44999999999999996,3073_14
0.28,,0.26,0.25,14,3074,0.75,3074_14
0.72,,0.63,0.32,14,3075,0.6799999999999999,3075_14
0.99,,1.0,0.99,14,3076,0.010000000000000009,3076_14
0.04,,0.31,0.0,14,3077,1.0,3077_14
0.79,,0.68,0.57,14,3078,0.43000000000000005,3078_14
0.96,0.96,1.0,0.97,15,3051,0.030000000000000027,3051_15
0.7,0.69,0.63,0.73,15,3053,0.27,3053_15
0.84,0.3,0.83,0.77,15,3054,0.22999999999999998,3054_15
0.85,0.75,0.92,0.01,15,3055,0.99,3055_15
0.28,0.68,0.63,0.12,15,3056,0.88,3056_15
0.68,0.49,0.69,0.61,15,3057,0.39,3057_15
0.52,0.59,0.55,0.41,15,3058,0.5900000000000001,3058_15
0.84,0.38,0.88,0.13,15,3059,0.87,3059_15
0.89,0.89,1.0,0.59,15,3060,0.41000000000000003,3060_15
0.61,0.61,0.63,0.7,15,3061,0.30000000000000004,3061_15
0.87,0.82,1.0,0.9,15,3062,0.09999999999999998,3062_15
0.61,0.63,0.67,0.56,15,3063,0.43999999999999995,3063_15
0.8,0.9,0.92,0.68,15,3064,0.31999999999999995,3064_15
