mood,sleep,food,stress,sessionID,userID,real_stress,user_sessionID
1.0,,1.0,0.92,16,1010,0.07999999999999996,1010_16
0.71,,0.62,0.73,16,1011,0.27,1011_16
0.51,,0.46,0.33,16,1012,0.6699999999999999,1012_16
0.61,,0.7,0.29,16,1013,0.71,1013_16
0.6,,1.0,0.4,16,1014,0.6,1014_16
0.39,0.39,0.52,0.6,17,991,0.4,991_17
0.49,0.47,0.47,0.47,17,992,0.53,992_17
0.55,0.55,0.54,0.55,17,993,0.44999999999999996,993_17
1.0,0.78,1.0,1.0,17,994,0.0,994_17
0.55,0.56,0.6,0.65,17,995,0.35,995_17
0.69,0.97,0.64,0.88,17,996,0.12,996_17
0.09,0.0,0.0,0.0,17,997,1.0,997_17
0.61,0.76,0.56,0.36,17,998,0.64,998_17
0.45,0.54,0.6,0.44,17,999,0.56,999_17
0.68,0.65,0.62,0.41,17,1000,0.5900000000000001,1000_17
0.39,0.69,0.7,0.33,17,1001,0.6699999999999999,1001_17
0.55,0.44,0.57,0.28,17,1002,0.72,1002_17
0.62,0.57,0.46,0.33,17,1003,0.6699999999999999,1003_17
1.0,1.0,1.0,0.95,17,1005,0.050000000000000044,1005_17
0.78,1.0,1.0,1.0,17,1006,0.0,1006_17
0.6,0.65,0.65,0.57,17,1007,0.43000000000000005,1007_17
0.51,0.56,0.59,0.53,17,1008,0.47,1008_17
0.53,0.25,0.49,0.48,17,1009,0.52,1009_17
1.0,0.92,1.0,0.92,17,1010,0.07999999999999996,1010_17
0.74,0.96,0.52,0.84,17,1011,0.16000000000000003,1011_17
0.59,0.47,0.66,0.72,17,1012,0.28,1012_17
0.66,0.66,0.68,0.56,17,1013,0.43999999999999995,1013_17
1.0,0.77,1.0,0.7,17,1014,0.30000000000000004,1014_17
0.61,,0.55,0.21,18,991,0.79,991_18
0.87,,0.93,0.93,18,992,0.06999999999999995,992_18
0.53,,0.55,0.57,18,993,0.43000000000000005,993_18
0.98,,0.97,0.86,18,994,0.14,994_18
0.66,,0.65,0.64,18,995,0.36,995_18
0.51,,0.88,0.29,18,996,0.71,996_18
0.0,,0.0,0.0,18,997,1.0,997_18
0.59,,0.58,0.3,18,998,0.7,998_18
0.58,,0.57,0.39,18,999,0.61,999_18
0.65,,0.65,0.6,18,1000,0.4,1000_18
0.3,,0.73,0.74,18,1001,0.26,1001_18
0.57,,0.9,0.1,18,1002,0.9,1002_18
0.64,,0.6,0.42,18,1003,0.5800000000000001,1003_18
0.95,,1.0,1.0,18,1005,0.0,1005_18
1.0,,1.0,1.0,18,1006,0.0,1006_18
0.57,,0.59,0.59,18,1007,0.41000000000000003,1007_18
0.59,,0.75,0.6,18,1008,0.4,1008_18
0.28,,0.64,0.24,18,1009,0.76,1009_18
1.0,,1.0,1.0,18,1010,0.0,1010_18
0.74,,0.77,0.85,18,1012,0.15000000000000002,1012_18
